연도,월,날,시간,강수,기온,습도,풍속
2021,1,1,0.0,0.0,-2.8,50.0,0.9
2021,1,1,1.0,0.0,-2.7,47.0,1.1
2021,1,1,2.0,0.0,-0.7,50.0,1.5
2021,1,1,3.0,0.0,0.2,52.0,1.6
2021,1,1,4.0,0.0,0.1,50.0,1.4
2021,1,1,5.0,0.0,0.3,52.0,1.2
2021,1,1,6.0,0.0,0.4,57.0,1.4
2021,1,1,7.0,0.0,-0.2,61.0,1.3
2021,1,1,8.0,0.0,-0.8,65.0,1.2
2021,1,1,9.0,0.0,-0.9,71.0,1.2
2021,1,1,10.0,0.0,-1.4,77.0,1.2
2021,1,1,11.0,0.0,-1.3,56.0,0.9
2021,1,1,12.0,0.0,-0.8,52.0,1.7
2021,1,1,13.0,0.0,-1.6,50.0,2.0
2021,1,1,14.0,0.0,-2.3,53.0,2.0
2021,1,1,15.0,0.0,-2.9,39.0,1.2
2021,1,1,16.0,0.0,-4.0,33.0,2.0
2021,1,1,17.0,0.0,-4.3,39.0,1.7
2021,1,1,18.0,0.0,-4.6,43.0,1.5
2021,1,1,19.0,0.0,-5.2,45.0,2.1
2021,1,1,20.0,0.0,-5.6,42.0,2.2
2021,1,1,21.0,0.0,-5.8,44.0,1.9
2021,1,1,22.0,0.0,-6.1,43.0,0.7
2021,1,1,23.0,0.0,-5.3,32.0,1.2
2021,1,2,0.0,0.0,-5.0,31.0,1.9
2021,1,2,1.0,0.0,-4.5,29.0,1.7
2021,1,2,2.0,0.0,-2.8,25.0,1.8
2021,1,2,3.0,0.0,-1.3,29.0,1.6
2021,1,2,4.0,0.0,-2.0,32.0,2.4
2021,1,2,5.0,0.0,-1.6,31.0,1.9
2021,1,2,6.0,0.0,-1.1,33.0,1.2
2021,1,2,7.0,0.0,-2.2,41.0,1.6
2021,1,2,8.0,0.0,-2.7,45.0,1.4
2021,1,2,9.0,0.0,-3.0,44.0,0.9
2021,1,2,10.0,0.0,-3.2,47.0,2.0
2021,1,2,11.0,0.0,-3.8,49.0,1.7
2021,1,2,12.0,0.0,-4.3,50.0,1.7
2021,1,2,13.0,0.0,-4.9,50.0,2.1
2021,1,2,14.0,0.0,-5.9,45.0,2.6
2021,1,2,15.0,0.0,-6.4,46.0,1.8
2021,1,2,16.0,0.0,-6.5,48.0,1.7
2021,1,2,17.0,0.0,-6.6,49.0,1.4
2021,1,2,18.0,0.0,-6.5,52.0,1.6
2021,1,2,19.0,0.0,-6.5,50.0,0.9
2021,1,2,20.0,0.0,-6.5,56.0,1.0
2021,1,2,21.0,0.0,-6.5,58.0,0.9
2021,1,2,22.0,0.0,-6.5,61.0,0.7
2021,1,2,23.0,0.0,-4.5,53.0,1.2
2021,1,3,0.0,0.0,-4.0,39.0,0.9
2021,1,3,1.0,0.0,-3.6,30.0,1.8
2021,1,3,2.0,0.0,-1.7,26.0,1.0
2021,1,3,3.0,0.0,-1.4,27.0,2.3
2021,1,3,4.0,0.0,-1.5,29.0,2.3
2021,1,3,5.0,0.0,-1.6,31.0,0.8
2021,1,3,6.0,0.0,-1.8,31.0,1.0
2021,1,3,7.0,0.0,-2.1,32.0,1.6
2021,1,3,8.0,0.0,-2.6,35.0,1.1
2021,1,3,9.0,0.0,-2.8,39.0,0.8
2021,1,3,10.0,0.0,-3.0,42.0,0.7
2021,1,3,11.0,0.0,-3.2,46.0,0.9
2021,1,3,12.0,0.0,-3.1,45.0,0.4
2021,1,3,13.0,0.0,-3.6,46.0,1.5
2021,1,3,14.0,0.0,-4.1,44.0,2.0
2021,1,3,15.0,0.0,-4.4,46.0,1.9
2021,1,3,16.0,0.0,-4.5,49.0,0.8
2021,1,3,17.0,0.0,-5.1,53.0,0.5
2021,1,3,18.0,0.0,-5.4,54.0,0.9
2021,1,3,19.0,0.0,-5.2,55.0,0.7
2021,1,3,20.0,0.0,-5.6,56.0,1.3
2021,1,3,21.0,0.0,-5.9,58.0,2.0
2021,1,3,22.0,0.0,-5.7,51.0,1.1
2021,1,3,23.0,0.0,-4.7,35.0,1.3
2021,1,4,0.0,0.0,-3.8,35.0,1.3
2021,1,4,1.0,0.0,-1.9,37.0,1.7
2021,1,4,2.0,0.0,-1.4,38.0,1.9
2021,1,4,3.0,0.0,-0.6,37.0,1.7
2021,1,4,4.0,0.0,0.1,40.0,0.5
2021,1,4,5.0,0.0,0.4,40.0,1.1
2021,1,4,6.0,0.0,0.0,45.0,1.6
2021,1,4,7.0,0.0,-0.2,49.0,1.5
2021,1,4,8.0,0.0,-0.4,59.0,1.5
2021,1,4,9.0,0.0,-0.3,61.0,1.0
2021,1,4,10.0,0.0,-0.2,58.0,1.8
2021,1,4,11.0,0.0,-0.3,57.0,1.7
2021,1,4,12.0,0.0,0.2,57.0,1.3
2021,1,4,13.0,0.0,-0.7,61.0,1.8
2021,1,4,14.0,0.0,-1.3,65.0,2.2
2021,1,4,15.0,0.0,-1.8,69.0,1.9
2021,1,4,16.0,0.0,-1.7,70.0,0.7
2021,1,4,17.0,0.0,-1.4,73.0,1.9
2021,1,4,18.0,0.0,-2.3,80.0,2.5
2021,1,4,19.0,0.0,-3.0,83.0,1.9
2021,1,4,20.0,0.0,-3.5,81.0,2.0
2021,1,4,21.0,0.0,-4.5,75.0,2.8
2021,1,4,22.0,0.0,-5.3,66.0,2.6
2021,1,4,23.0,0.0,-4.9,56.0,1.8
2021,1,5,0.0,0.0,-4.5,39.0,3.2
2021,1,5,1.0,0.0,-4.0,21.0,2.3
2021,1,5,2.0,0.0,-3.9,22.0,2.1
2021,1,5,3.0,0.0,-3.5,25.0,2.6
2021,1,5,4.0,0.0,-2.6,33.0,2.1
2021,1,5,5.0,0.0,-3.2,36.0,1.5
2021,1,5,6.0,0.0,-3.5,34.0,2.0
2021,1,5,7.0,0.0,-4.1,32.0,2.0
2021,1,5,8.0,0.0,-4.7,34.0,2.1
2021,1,5,9.0,0.0,-5.4,39.0,2.5
2021,1,5,10.0,0.0,-6.1,40.0,2.4
2021,1,5,11.0,0.0,-6.7,43.0,2.4
2021,1,5,12.0,0.0,-7.4,48.0,2.1
2021,1,5,13.0,0.0,-7.9,50.0,1.0
2021,1,5,14.0,0.0,-8.5,55.0,1.2
2021,1,5,15.0,0.0,-9.0,55.0,1.9
2021,1,5,16.0,0.0,-9.2,56.0,2.4
2021,1,5,17.0,0.0,-9.4,55.0,1.9
2021,1,5,18.0,0.0,-9.5,57.0,1.8
2021,1,5,19.0,0.0,-9.3,59.0,1.0
2021,1,5,20.0,0.0,-9.3,59.0,0.8
2021,1,5,21.0,0.0,-9.1,60.0,1.6
2021,1,5,22.0,0.0,-8.6,57.0,1.0
2021,1,5,23.0,0.0,-8.0,45.0,1.6
2021,1,6,0.0,0.0,-7.6,45.0,2.6
2021,1,6,1.0,0.0,-6.8,41.0,2.3
2021,1,6,2.0,0.0,-5.6,31.0,1.6
2021,1,6,3.0,0.0,-5.3,27.0,2.5
2021,1,6,4.0,0.0,-3.0,22.0,1.2
2021,1,6,5.0,0.0,-3.5,21.0,1.0
2021,1,6,6.0,0.0,-2.4,22.0,1.3
2021,1,6,7.0,0.0,-3.3,23.0,3.1
2021,1,6,8.0,0.0,-3.1,22.0,2.1
2021,1,6,9.0,1.0,-6.4,86.0,3.8
2021,1,6,10.0,1.5,-5.8,93.0,3.5
2021,1,6,11.0,0.5,-4.5,94.0,1.0
